Feature,Importance
Close,0.08953751712924642
rsi,0.09114004089440562
macd,0.08814942567983447
sma,0.08592619802935689
ema,0.08587031487134217
volatility,0.0933763911486739
bb_high,0.08693658258286249
bb_low,0.09127749009315193
atr,0.12737758728550766
stoch,0.11042137782274236
sentiment,0.037004193430444955
interest_rate,0.0
inflation,0.0
market_volatility,0.0
volume_spike,0.012982881032431275
